173-55: Bevölkerung nach Migrationsstatus, Geschlecht und Altersgruppen
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
;;;;insgesamt;insgesamt;davon;davon;davon;davon;davon;davon
;;;;;;Ausländer;Ausländer;Eingebürgerte 2);Eingebürgerte 2);Aussiedler 3);Aussiedler 3)
;;;;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich
04011213;Neustadt (Ortsteil);2013-12-31;unter 6;116;55;17;8;79;36;20;11;227;114
04011213;Neustadt (Ortsteil);2013-12-31;6 - 15;104;48;19;10;76;37;9;1;280;139
04011213;Neustadt (Ortsteil);2013-12-31;15 - 18;51;33;19;10;32;23;0;0;102;47
04011213;Neustadt (Ortsteil);2013-12-31;18 - 25;200;88;107;43;74;37;19;8;593;319
04011213;Neustadt (Ortsteil);2013-12-31;25 - 30;226;100;129;52;67;29;30;19;645;357
04011213;Neustadt (Ortsteil);2013-12-31;30 - 50;497;251;311;161;147;68;39;22;1915;977
04011213;Neustadt (Ortsteil);2013-12-31;50 - 65;189;89;108;52;64;29;17;8;1225;655
04011213;Neustadt (Ortsteil);2013-12-31;65 oder mehr;119;57;75;32;28;15;16;10;833;508
04011213;Neustadt (Ortsteil);2013-12-31;Insgesamt;1502;721;785;368;567;274;150;79;5820;3116
04011214;Südervorstadt (Ortsteil);2013-12-31;unter 6;71;34;10;4;52;27;9;3;109;55
04011214;Südervorstadt (Ortsteil);2013-12-31;6 - 15;105;48;33;17;69;29;3;2;140;63
04011214;Südervorstadt (Ortsteil);2013-12-31;15 - 18;33;17;19;11;14;6;0;0;72;37
04011214;Südervorstadt (Ortsteil);2013-12-31;18 - 25;212;111;140;74;60;32;12;5;498;280
04011214;Südervorstadt (Ortsteil);2013-12-31;25 - 30;199;88;125;53;49;26;25;9;502;253
04011214;Südervorstadt (Ortsteil);2013-12-31;30 - 50;470;204;304;128;141;65;25;11;1156;566
04011214;Südervorstadt (Ortsteil);2013-12-31;50 - 65;166;74;110;50;49;22;7;2;747;382
04011214;Südervorstadt (Ortsteil);2013-12-31;65 oder mehr;121;54;78;29;23;13;20;12;574;361
04011214;Südervorstadt (Ortsteil);2013-12-31;Insgesamt;1377;630;819;366;457;220;101;44;3798;1997
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;unter 6;145;67;15;11;108;47;22;9;84;30
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;6 - 15;168;78;26;12;132;61;10;5;159;73
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;15 - 18;48;26;19;11;29;15;0;0;64;21
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;18 - 25;136;73;66;34;54;33;16;6;323;155
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;25 - 30;134;73;64;36;53;31;17;6;305;139
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;30 - 50;497;270;274;151;180;93;43;26;962;470
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;50 - 65;195;97;100;49;70;32;25;16;667;369
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;65 oder mehr;148;74;72;37;45;20;31;17;998;641
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;Insgesamt;1471;758;636;341;671;332;164;85;3562;1898
04011216;Buntentor (Ortsteil);2013-12-31;unter 6;102;48;21;11;64;30;17;7;181;74
04011216;Buntentor (Ortsteil);2013-12-31;6 - 15;96;43;18;8;72;32;6;3;217;104
04011216;Buntentor (Ortsteil);2013-12-31;15 - 18;40;19;18;8;22;11;0;0;93;49
04011216;Buntentor (Ortsteil);2013-12-31;18 - 25;175;93;103;56;57;28;15;9;640;330
04011216;Buntentor (Ortsteil);2013-12-31;25 - 30;207;107;116;54;63;34;28;19;670;362
04011216;Buntentor (Ortsteil);2013-12-31;30 - 50;470;204;301;125;133;60;36;19;1823;879
04011216;Buntentor (Ortsteil);2013-12-31;50 - 65;154;78;94;45;52;26;8;7;1096;593
04011216;Buntentor (Ortsteil);2013-12-31;65 oder mehr;111;54;60;33;30;12;21;9;804;463
04011216;Buntentor (Ortsteil);2013-12-31;Insgesamt;1355;646;731;340;493;233;131;73;5524;2854
04011217;Neuenland (Ortsteil);2013-12-31;unter 6;30;11;7;1;23;10;0;0;26;11
04011217;Neuenland (Ortsteil);2013-12-31;6 - 15;34;17;11;4;22;12;1;1;41;18
04011217;Neuenland (Ortsteil);2013-12-31;15 - 18;13;3;5;2;8;1;0;0;14;4
04011217;Neuenland (Ortsteil);2013-12-31;18 - 25;66;28;41;18;17;7;8;3;106;44
04011217;Neuenland (Ortsteil);2013-12-31;25 - 30;54;22;38;17;13;5;3;0;67;30
04011217;Neuenland (Ortsteil);2013-12-31;30 - 50;208;85;151;59;52;25;5;1;201;87
04011217;Neuenland (Ortsteil);2013-12-31;50 - 65;102;38;71;24;29;12;2;2;159;77
04011217;Neuenland (Ortsteil);2013-12-31;65 oder mehr;36;19;22;11;10;5;4;3;255;144
04011217;Neuenland (Ortsteil);2013-12-31;Insgesamt;543;223;346;136;174;77;23;10;869;415
04011218;Huckelriede (Ortsteil);2013-12-31;unter 6;205;100;45;27;143;65;17;8;214;107
04011218;Huckelriede (Ortsteil);2013-12-31;6 - 15;256;127;81;40;166;82;9;5;269;115
04011218;Huckelriede (Ortsteil);2013-12-31;15 - 18;87;47;48;22;36;22;3;3;119;47
04011218;Huckelriede (Ortsteil);2013-12-31;18 - 25;282;122;190;74;84;43;8;5;451;217
04011218;Huckelriede (Ortsteil);2013-12-31;25 - 30;265;103;201;72;48;19;16;12;370;185
04011218;Huckelriede (Ortsteil);2013-12-31;30 - 50;724;344;503;235;192;100;29;9;1464;690
04011218;Huckelriede (Ortsteil);2013-12-31;50 - 65;292;133;189;88;78;36;25;9;983;478
04011218;Huckelriede (Ortsteil);2013-12-31;65 oder mehr;180;85;115;50;38;18;27;17;1054;616
04011218;Huckelriede (Ortsteil);2013-12-31;Insgesamt;2291;1061;1372;608;785;385;134;68;4924;2455
0401123;Obervieland (Stadtteil);2013-12-31;unter 6;1014;499;145;58;626;314;243;127;786;370
0401123;Obervieland (Stadtteil);2013-12-31;6 - 15;1474;708;255;118;976;478;243;112;1520;759
0401123;Obervieland (Stadtteil);2013-12-31;15 - 18;473;202;159;64;237;97;77;41;662;329
0401123;Obervieland (Stadtteil);2013-12-31;18 - 25;942;444;403;188;406;195;133;61;1787;831
0401123;Obervieland (Stadtteil);2013-12-31;25 - 30;769;385;336;158;278;150;155;77;1007;493
0401123;Obervieland (Stadtteil);2013-12-31;30 - 50;3330;1764;1514;816;1197;623;619;325;5859;2951
0401123;Obervieland (Stadtteil);2013-12-31;50 - 65;1908;972;639;327;724;357;545;288;5573;2877
0401123;Obervieland (Stadtteil);2013-12-31;65 oder mehr;1057;582;398;196;317;184;342;202;7351;4180
0401123;Obervieland (Stadtteil);2013-12-31;Insgesamt;10967;5556;3849;1925;4761;2398;2357;1233;24545;12790
04011231;Habenhausen (Ortsteil);2013-12-31;unter 6;101;47;22;6;60;33;19;8;242;110
04011231;Habenhausen (Ortsteil);2013-12-31;6 - 15;107;53;19;10;71;32;17;11;466;239
04011231;Habenhausen (Ortsteil);2013-12-31;15 - 18;50;21;22;7;23;11;5;3;184;88
04011231;Habenhausen (Ortsteil);2013-12-31;18 - 25;108;41;73;25;33;16;2;0;454;205
04011231;Habenhausen (Ortsteil);2013-12-31;25 - 30;98;38;72;23;14;10;12;5;215;100
04011231;Habenhausen (Ortsteil);2013-12-31;30 - 50;333;175;173;91;122;64;38;20;1560;806
04011231;Habenhausen (Ortsteil);2013-12-31;50 - 65;165;98;66;45;61;33;38;20;1759;924
04011231;Habenhausen (Ortsteil);2013-12-31;65 oder mehr;125;61;40;17;39;21;46;23;2274;1213
04011231;Habenhausen (Ortsteil);2013-12-31;Insgesamt;1087;534;487;224;423;220;177;90;7154;3685
04011232;Arsten (Ortsteil);2013-12-31;unter 6;218;107;21;8;122;62;75;37;224;106
04011232;Arsten (Ortsteil);2013-12-31;6 - 15;385;185;57;28;240;113;88;44;487;237
04011232;Arsten (Ortsteil);2013-12-31;15 - 18;129;50;31;11;67;27;31;12;240;122
04011232;Arsten (Ortsteil);2013-12-31;18 - 25;238;115;61;30;128;65;49;20;503;223
04011232;Arsten (Ortsteil);2013-12-31;25 - 30;149;79;39;22;58;30;52;27;223;117
04011232;Arsten (Ortsteil);2013-12-31;30 - 50;826;460;297;166;308;170;221;124;1711;880
04011232;Arsten (Ortsteil);2013-12-31;50 - 65;473;239;106;52;186;91;181;96;1486;762
04011232;Arsten (Ortsteil);2013-12-31;65 oder mehr;280;164;75;35;88;58;117;71;1672;985
